YYMM,CC-CODE,CC-DESC,RCODE-CODE,RCODE-DESC,CCAATT-CODE,CCAATT-DESC,CCAATTMM-CODE,CCAATTMM-DESC,MALE,FEMALE,TOTAL,HOUSE
5912,10,กรุงเทพมหานคร,1042,สายไหม,0, ,0, ,"94,258","106,116","200,374","96,064"
5912,10,กรุงเทพมหานคร,1043,คันนายาว,0, ,0, ,"44,621","50,748","95,369","41,518"
5912,10,กรุงเทพมหานคร,1044,สะพานสูง,0, ,0, ,"43,780","51,202","94,982","36,401"
5912,10,กรุงเทพมหานคร,1045,วังทองหลาง,0, ,0, ,"51,725","61,124","112,849","59,546"
5912,10,กรุงเทพมหานคร,1046,คลองสามวา,0, ,0, ,"89,787","99,720","189,507","78,343"
5912,10,กรุงเทพมหานคร,1047,บางนา,0, ,0, ,"43,148","48,875","92,023","62,042"
5912,10,กรุงเทพมหานคร,1048,ทวีวัฒนา,0, ,0, ,"36,333","41,557","77,890","32,329"
5912,10,กรุงเทพมหานคร,1049,ทุ่งครุ,0, ,0, ,"56,941","64,035","120,976","50,284"
5912,10,กรุงเทพมหานคร,1050,บางบอน,0, ,0, ,"51,240","55,896","107,136","49,489"
6012,10,กรุงเทพมหานคร,1001,พระนคร,0, ,0, ,"24,767","26,464","51,231","19,182"
6012,10,กรุงเทพมหานคร,1002,ดุสิต,0, ,0, ,"51,252","44,600","95,852","32,311"
6012,10,กรุงเทพมหานคร,1003,หนองจอก,0, ,0, ,"83,209","87,434","170,643","61,537"
6012,10,กรุงเทพมหานคร,1004,บางรัก,0, ,0, ,"22,672","25,145","47,817","30,301"
6012,10,กรุงเทพมหานคร,1005,บางเขน,0, ,0, ,"90,931","99,750","190,681","107,198"
6012,10,กรุงเทพมหานคร,1006,บางกะปิ,0, ,0, ,"67,312","80,488","147,800","102,119"
6012,10,กรุงเทพมหานคร,1007,ปทุมวัน,0, ,0, ,"22,469","26,652","49,121","30,815"
6012,10,กรุงเทพมหานคร,1008,ป้อมปราบศัตรูพ่าย,0, ,0, ,"22,668","23,913","46,581","19,684"
6012,10,กรุงเทพมหานคร,1009,พระโขนง,0, ,0, ,"41,267","49,267","90,534","52,092"
6012,10,กรุงเทพมหานคร,1010,มีนบุรี,0, ,0, ,"66,860","74,890","141,750","58,200"
6012,10,กรุงเทพมหานคร,1011,ลาดกระบัง,0, ,0, ,"83,143","90,844","173,987","90,000"
6012,10,กรุงเทพมหานคร,1012,ยานนาวา,0, ,0, ,"37,134","41,663","78,797","51,043"
6012,10,กรุงเทพมหานคร,1013,สัมพันธวงศ์,0, ,0, ,"11,685","12,465","24,150","13,205"
6012,10,กรุงเทพมหานคร,1014,พญาไท,0, ,0, ,"34,887","35,351","70,238","41,891"
6012,10,กรุงเทพมหานคร,1015,ธนบุรี,0, ,0, ,"51,585","57,897","109,482","54,576"
6012,10,กรุงเทพมหานคร,1016,บางกอกใหญ่,0, ,0, ,"32,180","35,588","67,768","30,867"
6012,10,กรุงเทพมหานคร,1017,ห้วยขวาง,0, ,0, ,"37,022","44,493","81,515","73,691"
6012,10,กรุงเทพมหานคร,1018,คลองสาน,0, ,0, ,"34,113","39,150","73,263","38,166"
6012,10,กรุงเทพมหานคร,1019,ตลิ่งชัน,0, ,0, ,"49,417","55,882","105,299","41,732"
6012,10,กรุงเทพมหานคร,1020,บางกอกน้อย,0, ,0, ,"53,571","58,475","112,046","48,771"
6012,10,กรุงเทพมหานคร,1021,บางขุนเทียน,0, ,0, ,"86,162","96,073","182,235","87,140"
6012,10,กรุงเทพมหานคร,1022,ภาษีเจริญ,0, ,0, ,"59,528","67,296","126,824","56,918"
6012,10,กรุงเทพมหานคร,1023,หนองแขม,0, ,0, ,"72,834","82,888","155,722","59,550"
6012,10,กรุงเทพมหานคร,1024,ราษฎร์บูรณะ,0, ,0, ,"39,532","43,013","82,545","36,973"
6012,10,กรุงเทพมหานคร,1025,บางพลัด,0, ,0, ,"42,584","49,741","92,325","49,873"
6012,10,กรุงเทพมหานคร,1026,ดินแดง,0, ,0, ,"56,833","65,730","122,563","58,720"
6012,10,กรุงเทพมหานคร,1027,บึงกุ่ม,0, ,0, ,"65,813","78,022","143,835","72,868"
6012,10,กรุงเทพมหานคร,1028,สาทร,0, ,0, ,"37,734","41,890","79,624","41,447"
6012,10,กรุงเทพมหานคร,1029,บางซื่อ,0, ,0, ,"59,009","66,431","125,440","68,977"
6012,10,กรุงเทพมหานคร,1030,จตุจักร,0, ,0, ,"73,150","83,534","156,684","111,197"
6012,10,กรุงเทพมหานคร,1031,บางคอแหลม,0, ,0, ,"42,580","46,778","89,358","39,315"
6012,10,กรุงเทพมหานคร,1032,ประเวศ,0, ,0, ,"82,669","92,987","175,656","88,079"
6012,10,กรุงเทพมหานคร,1033,คลองเตย,0, ,0, ,"49,186","53,759","102,945","68,641"
6012,10,กรุงเทพมหานคร,1034,สวนหลวง,0, ,0, ,"56,252","66,282","122,534","72,788"
6012,10,กรุงเทพมหานคร,1035,จอมทอง,0, ,0, ,"72,655","79,660","152,315","69,916"
6012,10,กรุงเทพมหานคร,1036,ดอนเมือง,0, ,0, ,"84,202","84,771","168,973","74,516"
6012,10,กรุงเทพมหานคร,1037,ราชเทวี,0, ,0, ,"34,779","37,525","72,304","47,344"
6012,10,กรุงเทพมหานคร,1038,ลาดพร้าว,0, ,0, ,"54,650","65,744","120,394","56,147"
6012,10,กรุงเทพมหานคร,1039,วัฒนา,0, ,0, ,"39,922","45,045","84,967","70,607"
6012,10,กรุงเทพมหานคร,1040,บางแค,0, ,0, ,"90,016","102,986","193,002","88,135"
6012,10,กรุงเทพมหานคร,1041,หลักสี่,0, ,0, ,"49,695","55,006","104,701","53,342"
6012,10,กรุงเทพมหานคร,1042,สายไหม,0, ,0, ,"95,241","107,349","202,590","97,642"
6012,10,กรุงเทพมหานคร,1043,คันนายาว,0, ,0, ,"45,326","51,425","96,751","42,935"
6012,10,กรุงเทพมหานคร,1044,สะพานสูง,0, ,0, ,"43,939","51,598","95,537","36,855"
6012,10,กรุงเทพมหานคร,1045,วังทองหลาง,0, ,0, ,"51,336","60,780","112,116","59,976"
